"newspaper","date","total_news","epu_news","epu_cat2_news","epu_cat3_news","epu_cat4_news","epu_cat5_news","epu_cat6_news","epu_cat7_news","epu_cat8_news","epu_cat9_news","epu_cat10_news","epu_cat11_news","epu_cat12_news","epu_cat13_news","epu_cat14_news"
"el_pais","03-2009",115,2,1,0,0,0,0,2,0,0,2,2,0,2,1
"el_pais","04-2009",134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","05-2009",153,2,1,0,0,1,1,0,0,0,2,1,1,2,0
"el_pais","06-2009",111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","07-2009",3474,3,1,0,0,1,2,0,0,0,3,2,2,2,1
"el_pais","08-2009",140,4,0,0,0,0,0,0,0,3,4,3,1,4,1
"el_pais","09-2009",109,1,0,0,0,0,0,0,0,0,1,0,1,1,1
"el_pais","10-2009",256,3,2,0,1,1,0,1,1,0,3,2,1,2,0
"el_pais","11-2009",595,4,1,0,0,2,1,1,0,2,4,3,1,3,0
"el_pais","12-2009",450,6,0,0,0,0,1,1,0,3,6,1,1,5,1
"el_pais","01-2010",401,2,0,0,0,0,0,0,0,0,2,1,2,1,2
"el_pais","02-2010",769,14,6,3,1,9,2,0,4,3,14,12,5,13,4
"el_pais","03-2010",1403,21,8,2,1,4,5,3,0,2,21,18,9,21,5
"el_pais","04-2010",936,22,5,0,3,9,4,5,4,0,22,17,13,20,6
"el_pais","05-2010",1028,18,5,1,0,11,0,0,7,4,18,13,10,15,9
"el_pais","06-2010",1556,20,4,1,3,10,1,8,0,1,20,15,11,16,8
"el_pais","07-2010",1750,32,2,0,0,4,1,3,2,9,32,15,9,26,7
"el_pais","08-2010",1701,16,8,0,2,4,0,5,0,2,16,10,5,12,6
"el_pais","09-2010",1442,30,5,0,1,3,2,2,0,6,30,18,14,21,6
"el_pais","10-2010",1148,22,5,0,0,4,0,3,0,0,22,8,10,11,5
"el_pais","11-2010",1136,20,3,1,1,9,1,6,0,1,20,14,8,18,9
"el_pais","12-2010",999,26,2,0,2,11,6,6,0,0,26,17,10,15,2
"el_pais","01-2011",1058,16,10,4,1,10,1,3,1,0,16,13,3,16,5
"el_pais","02-2011",1046,11,4,0,0,0,0,6,0,2,11,9,7,10,7
"el_pais","03-2011",1201,13,5,0,1,4,2,2,1,2,13,13,9,13,3
"el_pais","04-2011",1187,29,12,0,1,5,4,10,0,7,29,15,11,23,5
"el_pais","05-2011",961,13,4,2,0,2,3,0,0,0,13,9,8,10,1
"el_pais","06-2011",1123,61,7,1,1,10,3,7,7,1,61,30,18,36,6
"el_pais","07-2011",1396,37,6,1,3,10,2,6,5,1,37,21,10,37,9
"el_pais","08-2011",1114,25,6,5,2,11,0,5,1,2,25,16,7,20,6
"el_pais","09-2011",1249,55,10,2,3,7,1,4,1,2,55,37,9,41,10
"el_pais","10-2011",1211,29,5,0,0,4,1,1,0,5,29,21,6,26,3
